## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet20_New_mergedReps_sorted_InsertSizeMetrics.pdf METRIC_ACCUMULATION_LEVEL=[ALL_READS] INPUT=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet20_New_mergedReps_sorted.bam OUTPUT=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet20_New_mergedReps_sorted_InsertSizeMetrics.txt VALIDATION_STRINGENCY=SILENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Fri Dec 30 12:11:49 EST 2016

## METRICS CLASS	net.sf.picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
118	69	1	237500245	123.998247	83.969609	33405964	FR	47	79	101	123	139	153	167	177	211	509			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	391
2	487
3	489
4	457
5	640
6	513
7	512
8	587
9	8446
10	13189
11	6863
12	5488
13	4507
14	4365
15	5640
16	8169
17	30318
18	28782
19	32218
20	41042
21	43121
22	40780
23	50602
24	74330
25	116479
26	193005
27	241277
28	244689
29	315373
30	531716
31	640159
32	621670
33	563281
34	507694
35	478834
36	424315
37	339715
38	271467
39	250364
40	300093
41	397939
42	446419
43	433013
44	373986
45	332434
46	294674
47	251336
48	212340
49	190047
50	195618
51	219720
52	246378
53	257039
54	244302
55	229909
56	208752
57	185786
58	163880
59	147749
60	146874
61	153708
62	166834
63	174351
64	171843
65	163759
66	151104
67	137929
68	123580
69	112324
70	108164
71	108887
72	117136
73	123310
74	123674
75	117784
76	111007
77	102795
78	94654
79	86607
80	82617
81	81462
82	83624
83	86366
84	88150
85	86989
86	84525
87	80151
88	74649
89	70089
90	66796
91	65543
92	66274
93	66762
94	68687
95	68271
96	69693
97	70653
98	70238
99	65546
100	60556
101	58469
102	56837
103	57099
104	58471
105	60899
106	62173
107	61720
108	63109
109	61346
110	56667
111	53499
112	51663
113	51778
114	57462
115	71258
116	75126
117	68302
118	70706
119	71391
120	63478
121	58764
122	56241
123	53418
124	53324
125	59805
126	73267
127	97187
128	144368
129	164537
130	124650
131	90401
132	80183
133	67643
134	57276
135	56328
136	62837
137	75945
138	100085
139	126495
140	141012
141	156763
142	164911
143	135243
144	97687
145	85733
146	87481
147	93452
148	108518
149	129817
150	139598
151	132811
152	120590
153	109784
154	110676
155	125583
156	155252
157	194812
158	226933
159	224733
160	194407
161	164568
162	144648
163	132442
164	133744
165	155648
166	193029
167	226591
168	237957
169	222797
170	192056
171	165139
172	147389
173	138724
174	139238
175	150566
176	167477
177	182504
178	187877
179	185106
180	171550
181	156203
182	143741
183	138458
184	141698
185	149819
186	159672
187	167038
188	166834
189	163546
190	157192
191	149778
192	143988
193	139577
194	139117
195	140511
196	143463
197	144638
198	144944
199	141203
200	136146
