## net.sf.picard.metrics.StringHeader
# net.sf.picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet2_mergedReps_sorted_InsertSizeMetrics.pdf METRIC_ACCUMULATION_LEVEL=[ALL_READS] INPUT=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet2_mergedReps_sorted.bam OUTPUT=/data/skn/Islets_Stitzel/Diabetic_versus_Non-Diabetic/RelevantFiles_AllIsletsAnalysis/BamFiles/Shifted/Islet2_mergedReps_sorted_InsertSizeMetrics.txt VALIDATION_STRINGENCY=SILENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Fri Dec 30 12:20:37 EST 2016

## METRICS CLASS	net.sf.picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
149	85	1	242888140	169.148697	137.583987	38512736	FR	25	55	89	129	171	205	229	245	425	987			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
1	97
2	151
3	125
4	136
5	200
6	129
7	159
8	174
9	15444
10	20418
11	8718
12	9182
13	8167
14	6548
15	5781
16	8660
17	33353
18	34433
19	40259
20	50832
21	48829
22	39292
23	44856
24	60654
25	93931
26	159959
27	214112
28	228244
29	310847
30	550743
31	642064
32	560830
33	473448
34	425492
35	404164
36	365540
37	303404
38	250412
39	236283
40	286520
41	376285
42	397263
43	360808
44	316088
45	287148
46	259790
47	228592
48	197979
49	180613
50	184540
51	203429
52	222269
53	224480
54	213983
55	204871
56	189482
57	172059
58	156352
59	143014
60	143823
61	147137
62	155185
63	158097
64	154086
65	148090
66	139324
67	128901
68	117890
69	109728
70	106358
71	106011
72	111170
73	114351
74	112859
75	109587
76	104677
77	97645
78	91291
79	85235
80	81936
81	80620
82	81233
83	83789
84	83939
85	82632
86	81348
87	78259
88	74257
89	70956
90	68972
91	67636
92	67431
93	67331
94	68485
95	69321
96	71277
97	74301
98	76995
99	72721
100	66765
101	64926
102	62814
103	61870
104	62336
105	66034
106	68068
107	68944
108	72483
109	71563
110	66377
111	62128
112	59835
113	58309
114	65256
115	81386
116	86612
117	80480
118	87415
119	90516
120	80767
121	76145
122	73326
123	67501
124	64991
125	75027
126	90093
127	114951
128	166266
129	192309
130	155942
131	124874
132	114597
133	94991
134	75325
135	71962
136	79198
137	96280
138	125630
139	156472
140	168704
141	185601
142	200097
143	170454
144	126470
145	108404
146	109613
147	115798
148	131250
149	153676
150	161918
151	150822
152	134763
153	123844
154	123687
155	137551
156	163607
157	197135
158	224268
159	224440
160	198901
161	168493
162	146492
163	132740
164	131587
165	148017
166	177394
167	203700
168	215817
169	206115
170	183491
171	159335
172	141734
173	131304
174	130991
175	139130
176	153013
177	166048
178	172555
179	171010
180	161099
181	147013
182	137046
183	131419
184	133050
185	140568
186	147941
187	154838
188	155169
189	152071
190	146844
191	139511
192	135156
193	131357
194	130876
195	132553
196	135165
197	137774
198	137597
199	134819
